i,j
39,43
39,44
39,45
39,46
39,39
39,48
39,49
39,50
39,51
39,52
39,53
39,47
40,58
40,59
40,60
40,61
40,62
40,63
40,64
40,67
40,66
40,68
40,69
40,70
40,71
40,57
40,65
40,56
40,55
40,54
40,41
40,42
40,43
40,44
40,45
40,46
40,40
40,48
40,49
40,50
40,51
40,52
40,53
40,47
41,58
41,59
41,60
41,61
41,62
41,63
41,67
41,65
41,66
41,69
41,70
41,71
41,57
41,64
41,56
41,68
41,54
41,55
41,42
41,43
41,44
41,45
41,46
41,41
41,48
41,49
41,50
41,51
41,52
41,53
41,47
42,59
42,60
42,61
42,62
42,63
42,64
42,67
42,66
42,68
42,69
42,58
42,71
42,65
42,57
42,70
42,55
42,42
42,43
42,44
42,45
42,46
42,47
42,56
42,49
42,50
42,51
42,52
42,53
42,54
42,48
43,59
43,60
43,61
43,62
43,63
43,64
43,67
43,66
43,68
43,69
43,70
43,58
43,65
43,71
43,56
43,55
43,57
43,43
43,44
43,45
43,47
43,48
43,46
43,50
43,51
43,52
43,53
43,54
43,49
44,64
44,60
44,61
44,62
44,63
44,65
44,59
44,67
44,68
44,69
44,70
44,71
44,66
44,58
44,45
44,56
44,57
44,46
44,47
44,48
44,49
44,44
44,51
44,52
44,53
44,54
44,55
44,50
45,61
45,62
45,63
45,64
45,65
45,68
45,67
45,69
45,70
45,71
45,60
45,66
45,59
45,57
45,45
45,58
45,46
45,47
45,48
45,50
45,49
45,52
45,53
45,54
45,55
45,56
45,51
46,64
46,61
46,62
46,63
46,65
46,60
46,67
46,71
46,69
46,70
46,66
46,59
46,68
46,57
46,58
46,46
46,47
46,48
46,50
46,49
46,52
46,53
46,54
46,55
46,56
46,51
47,64
47,61
47,62
47,63
47,65
47,71
47,67
47,68
47,69
47,60
47,66
47,59
47,70
47,57
47,47
47,48
47,49
47,50
47,51
47,58
47,53
47,54
47,55
47,56
47,52
48,61
48,62
48,63
48,64
48,65
48,67
48,68
48,69
48,70
48,60
48,66
48,71
48,59
48,57
48,56
48,55
48,54
48,53
48,52
48,51
48,50
48,49
48,48
48,58
49,63
49,64
49,65
49,66
49,62
49,68
49,69
49,70
49,71
49,67
49,61
49,52
49,59
49,50
49,51
49,60
49,53
49,49
49,55
49,56
49,57
49,58
49,54
50,62
50,71
50,69
50,68
50,67
50,66
50,65
50,64
50,63
50,61
50,70
50,59
50,51
50,52
50,53
50,54
50,50
50,56
50,57
50,58
50,55
50,60
51,71
51,62
51,70
51,69
51,68
51,67
51,66
51,65
51,64
51,63
51,60
51,59
51,58
51,57
51,56
51,55
51,54
51,53
51,52
51,51
51,61
52,64
52,66
52,67
52,63
52,69
52,70
52,71
52,68
52,62
52,65
52,60
52,53
52,54
52,55
52,56
52,52
52,61
52,58
52,59
52,57
53,64
53,71
53,70
53,69
53,68
53,67
53,66
53,65
53,63
53,61
53,53
53,60
53,59
53,58
53,57
53,56
53,55
53,54
53,62
54,71
54,65
54,66
54,64
54,68
54,69
54,70
54,67
54,63
54,60
54,61
54,59
54,58
54,57
54,56
54,55
54,54
54,62
55,71
55,70
55,69
55,68
55,67
55,66
55,65
55,64
55,63
55,61
55,60
55,59
55,58
55,57
55,56
55,55
55,62
56,65
56,70
56,69
56,68
56,71
56,67
56,66
56,64
56,59
56,62
56,61
56,60
56,58
56,57
56,56
56,63
57,71
57,70
57,69
57,68
57,67
57,66
57,65
57,63
57,62
57,61
57,60
57,59
57,58
57,57
57,64
58,66
58,71
58,70
58,69
58,67
58,65
58,68
58,63
58,62
58,61
58,60
58,59
58,58
58,64
59,71
59,69
59,68
59,67
59,66
59,65
59,70
59,63
59,62
59,61
59,60
59,59
59,64
60,71
60,70
60,69
60,68
60,67
60,66
60,65
60,63
60,62
60,61
60,60
60,64
61,68
61,70
61,69
61,71
61,67
61,63
61,65
61,64
61,62
61,61
61,66
62,71
62,69
62,68
62,67
62,70
62,65
62,64
62,63
62,62
62,66
63,71
63,70
63,69
63,68
63,66
63,65
63,64
63,63
63,67
64,71
64,70
64,68
64,69
64,66
64,65
64,64
64,67
65,65
65,66
65,67
65,68
65,69
65,70
65,71
66,71
66,69
66,70
66,67
66,66
66,68
67,67
67,68
67,69
67,70
67,71
68,71
68,70
68,68
68,69
69,69
69,70
69,71
70,71
70,70
71,71
